ES_id,Area_prop(%),Species,Ht(m),Missing ,Re_Ht,Re_Missing 
1,0.1125,RHSP1,0.5,30,3,4
1,0.16875,RHSP1,0.5,30,3,4
1,0.25,RHSP1,0.5,5,3,1
1,0.25,RHSP1,0.5,5,3,1
1,0.0375,ABGR4,0.3,10,2,2
1,0.0625,MA11,0.8,25,4,3
1,0.2025,SPTH2,0.9,20,4,3
1,0.0625,MA11,0.5,35,3,4
1,0.03,MA11,0.4,65,2,7
1,0.1,MA11,0.5,20,3,3
1,0.06,HYMO2,0.7,45,3,5
1,0.2,ABGR4,1,25,5,3
1,0.0225,MA11,0.3,55,2,6
1,0.6,BUMI1,1,30,5,4
1,0.075,SPTH2,1.1,35,5,4
1,0.225,BUMI1,1,20,5,3
2,0.09,SC3,1.6,15,7,2
2,0.045,SC3,0.4,20,2,3
2,0.1225,CAJA9,1.8,15,8,2
2,0.0225,MACLASS,0.3,70,2,8
2,0.01,ROHY,0.3,20,2,3
3,1.44,AUJA,1.95,80,8,9
3,0.075,CAJA9,1.5,95,7,10
3,0.375,CRJA,1.5,80,7,9
3,0.45,LISU8,1.5,80,7,9
3,0.09,CAJA9,1.2,90,5,10
3,0.15,GA2,1,80,5,9
3,0.075,AUJA,0.6,65,3,7
3,0.15,AUJA,0.7,40,3,5
3,0.5,AUJA,1.5,50,7,6
3,0.1225,PIJA,1.8,50,8,6
3,0.45,AUJA,1.5,80,7,9
3,0.25,GA2,1.4,25,6,3
3,0.175,CAJA9,1.2,10,5,2
3,0.0225,ARCR80,0.3,70,2,8
4,0.13,RHIN1,0.45,10,2,2
4,0.065,NADO,0.3,30,2,4
4,0.13,RHIN1,0.45,10,2,2
4,0.065,NADO,0.3,30,2,4
4,0.105,FRGR1,1.1,25,5,3
4,0.04,ROCH,0.5,40,3,5
4,0.36,OLEU,1.8,20,8,3
4,0.325,FRGR1,1.8,50,8,6
4,0.04,LAAN81,0.4,15,2,2
5,0.25,RHIN1,0.3,30,2,4
5,0.3,RHIN1,0.31,25,2,3
5,0.25,RHIN1,0.32,35,2,4
5,0.375,MACLASS,0.33,15,2,2
5,0.375,MACLASS,0.34,15,2,2
5,0.375,MACLASS,0.35,15,2,2
6,0.25,PHGL,0.45,10,2,2
6,2,PHGL,0.45,20,2,3
6,0.325,PHGL,0.45,10,2,2
6,1.7689,RHSP1,0.5,5,3,1
6,1.3225,RHSP1,0.5,15,3,2
6,0.25,PITO,0.4,25,2,3
7,0.0625,HYSP,1.2,50,5,6
7,0.09,SAIN3,0.7,10,3,2
7,0.01,ROHY,0.3,15,2,2
7,0.045,MACLASS,0.5,35,3,4
7,0.0125,HYSP,0.45,30,2,4
7,0.01,PRPE2,0.45,40,2,5
7,0.09,HYQU3,0.6,10,3,2
7,0.04,HYSP,0.45,40,2,5
7,0.0225,SASE2,1.5,70,7,8
7,0.0625,ROCH,0.6,65,3,7
8,0.0225,NADO,1.3,95,6,10
8,0.015,CESI4,0.6,90,3,10
8,0.06,LAIN,0.3,95,2,10
8,0.015,MUAX2,1,90,5,10
8,0.045,ARCR80,0.3,30,2,4
8,0.0314,NADO,1.7,83.52941176,7,9
8,0.0176625,NADO,1.7,85.88235294,7,9
8,0.039740625,NADO,1.9,94.73684211,8,10
8,0.110390625,VIOD,1.5,94.66666667,7,10
8,0.0176625,NADO,1.6,91.25,7,10
8,0.059365625,MAJA,1.8,82.22222222,8,9
8,0.1256,HYSP,1.8,41.66666667,8,5
9,0.4225,LISI,1.3,15,6,2
9,0.78,HISY,1.9,20,8,3
9,0.25,HISY,1.9,20,8,3
9,0.175,HISY,1.8,25,8,3
9,0.105,EUJAAM,1.7,30,7,4
9,0.5,RHSP1,1.5,15,7,2
9,0.1225,SPTH2,1.1,75,5,8
9,0.0625,RHSC3,0.5,30,3,4
9,0.04,ROCH,0.6,80,3,9
9,0.005625,MACLASS,0.3,30,2,4
9,1.5,MACLASS,0.6,30,3,4
11,0.2826,LAIN,1.8,46.66666667,8,5
11,0.19625,LAIN,1.5,72,7,8
11,0.19625,COFL,1.8,64.44444444,8,7
12,0.015,CESI4,0.3,30,2,4
12,0.0225,LILU,0.3,30,2,4
12,0.0225,TRSE6,0.3,45,2,5
12,0.075,CESI4,0.9,35,4,4
12,0.0625,TRSE6,0.6,25,3,3
12,0.0625,BRPA,0.5,15,3,2
12,0.015625,MEAZ,0.5,35,3,4
12,0.01,BRPA,0.3,35,2,4
13,0.0625,RHIN21,0.4,80,2,9
13,0.8,MACLASS,1.8,30,8,4
13,0.2025,CICA,1.8,35,8,4
13,0.09,BRPA,1.8,55,8,6
13,0.0225,CESI4,1.4,75,6,8
13,0.105,MA17,1.8,70,8,8
13,0.075,CESI4,1.6,65,7,7
13,0.0225,MA17,0.6,75,3,8
13,0.0025,CESI4,0.6,80,3,9
13,0.0125,CESI4,0.6,85,3,9
13,0.005625,CESI4,0.6,80,3,9
13,0.4,OSFR,1.8,30,8,4
13,0.0225,MEAZ,0.6,60,3,7
14,0.0225,CHOB,1.3,20,6,3
14,0.0225,CHOB,1.3,20,6,3
14,0.0225,CHOB,1.3,20,6,3
14,0.01,NADO,0.3,25,2,3
14,0.01,NADO,0.3,25,2,3
14,0.01,NADO,0.3,25,2,3
14,0.01,NADO,0.3,25,2,3
14,0.01,NADO,0.3,25,2,3
14,0.01,NADO,0.3,25,2,3
14,0.01,CROV,0.3,20,2,3
14,0.015625,CISP,0.35,65,2,7
14,0.0625,MACLASS,0.5,80,3,9
14,0.015625,NADO,0.8,80,4,9
14,0.15,JANU,0.35,80,2,9
14,0.015625,ERJA,0.6,65,3,7
14,0.0225,NADO,0.6,60,3,7
14,0.015625,QUAL2,0.3,50,2,6
14,0.0625,FOVI,0.5,40,3,5
14,0.1225,CISP,1.2,65,5,7
14,0.04,MACLASS,0.4,40,2,5
14,0.04,GIBI,1.2,80,5,9
14,0.09,LACA2,1.2,85,5,9
14,0.0625,ROCH,1.5,75,7,8
14,0.0225,ZESE,0.9,70,4,8
14,0.0225,RHSP1,0.3,5,2,1
14,0.04,NADO,0.7,90,3,10
14,0.1,SC3,1.1,65,5,7
14,0.0625,HYSP,0.5,20,3,3
14,0.0225,NADO,0.5,90,3,10
15,0.04,RH2,0.4,60,2,7
15,0.04,FIRE4,0.4,35,2,4
15,0.015625,EU9,0.5,85,3,9
15,0.04,VIVI,0.4,75,2,8
15,0.0225,ELUM,0.4,90,2,10
15,0.125,ACPA,0.6,45,3,5
15,0.0625,ACJA2,1,65,5,7
15,0.455,RHIN1,1.2,10,5,2
15,0.0225,ARCR80,1.5,80,7,9
15,0.25,NADO,1.5,30,7,4
15,0.19625,MACLASS,1.6,25.625,7,3
15,0.19625,MACLASS,1.6,32.5,7,4
15,0.19625,MACLASS,1.6,40,7,5
15,0.19625,MACLASS,1.5,41.33333333,7,5
15,0.19625,MACLASS,1.5,41.33333333,7,5
15,0.19625,MACLASS,1.5,41.33333333,7,5
15,0.19625,MACLASS,1.5,41.33333333,7,5
16,0.81,QUAL2,1.3,40,6,5
16,1.08,QUAL2,1.4,55,6,6
16,0.09,GA2,1,60,5,7
16,0.36,MACLASS,1.8,70,8,8
16,0.135,GA2,1.3,80,6,9
16,0.375,MACLASS,1.6,70,7,8
16,0.5625,MACLASS,1.6,45,7,5
16,0.09,GA2,1.2,70,5,8
16,0.25,MACLASS,1.7,70,7,8
16,0.36,MACLASS,1.9,70,8,8
16,0.09,GA2,1,65,5,7
16,0.4225,NADO,1.7,40,7,5
16,0.25,GA2,1.5,60,7,7
16,0.36,GA2,1.5,30,7,4
16,0.36,MACLASS,1.8,70,8,8
16,0.0625,GA2,0.5,20,3,3
16,0.27,PRX,0.7,90,3,10
16,0.0225,KEJA,0.3,50,2,6
16,0.09,PRSU,0.3,80,2,9
16,0.03,CHLA1,0.5,10,3,2
16,0.04,RHSC3,0.3,15,2,2
16,0.07,CACR27,0.3,25,2,3
18,0.64,CECH,1.6,65,7,7
18,0.2,CAJA11,1,65,5,7
18,0.09,NADO,0.8,50,4,6
20,1.125,QUAL2,1.3,10,6,2
21,0.2374625,NADO,1.1,45.45454545,5,5
21,0.1256,NADO,1.1,45.45454545,5,5
22,0.01,RHIN21,1.5,55,7,6
22,0.09,MAJA,1.1,60,5,7
22,0.06,MAJA,0.6,50,3,6
22,0.2025,NADO,1.6,15,7,2
22,0.3,MACLASS,1.6,55,7,6
22,0.09,CA22,1,35,5,4
22,0.75,FAJA,1.5,20,7,3
22,0.25,ILAT,1.9,55,8,6
22,0.45,NADO,1,45,5,5
22,0.0075,MACLASS,0.7,30,3,4
22,0.015,CESI4,0.4,35,2,4
22,0.01,SEFO2,0.7,80,3,9
23,0.2,MACLASS,0.45,15,2,2
23,0.0225,RH2,1.1,75,5,8
23,0.06,RH2,1.1,50,5,6
23,0.16,ACBU,1.8,45,8,5
23,0.01,RHIN1,0.4,80,2,9
24,0.075,BUMI1,0.8,20,4,3
24,0.0225,TIUR,1.2,95,5,10
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.0225,MACLASS,0.3,70,2,8
24,0.09,ACPA,0.6,80,3,9
24,0.03,MACLASS,0.3,20,2,3
24,0.04,MACLASS,0.3,40,2,5
24,0.02625,MYCO,0.65,50,3,6
24,0.01,ZAPU2,0.3,60,2,7
24,0.0625,CAJA9,0.5,60,3,7
24,0.16,HISY,1.6,40,7,5
24,0.1225,HISY,1.5,40,7,5
24,0.0625,ACPA,0.6,40,3,5
24,0.01,HYSP,0.3,60,2,7
24,0.030625,HYSP,0.3,30,2,4
24,0.030625,HYSP,0.4,30,2,4
24,0.06,ABME,0.6,60,3,7
24,0.035,GA2,0.3,30,2,4
24,0.09,ILCR,0.9,70,4,8
24,0.0225,QUMY1,0.6,80,3,9
24,0.24,CAJA9,1.5,75,7,8
24,0.36,CAJA9,1.6,65,7,7
24,0.3,CAJA9,1.5,30,7,4
24,0.4225,NADO,1.5,10,7,2
24,0.375,RHSP1,0.4,30,2,4
24,0.01875,RHSP1,0.5,70,3,8
24,0.2374625,ABME,1.65,76.36363636,7,8
24,0.19625,CASA,1.6,51.875,7,6
24,0.19625,ALJU,1.7,65,7,7
24,0.110390625,OSFR,1.9,82.63157895,8,9
24,0.259540625,OSFR,1.8,35,8,4
24,0.19625,MAKO,1.6,95.9375,7,10
25,0.025,LILU,0.6,90,3,10
25,0.03,NADO,1.2,95,5,10
25,0.36,RHIN1,0.5,15,3,2
25,0.225,RHIN1,0.3,50,2,6
25,0.09,RHIN1,0.3,40,2,5
25,0.5625,EUJAAM,1.7,80,7,9
25,0.0375,CESI4,0.9,75,4,8
25,0.16,KEJA,1,65,5,7
25,0.425,SPTH2,1,35,5,4
25,0.0314,CASI16,1.3,72.30769231,6,8
25,0.0176625,LILU,1.3,75.38461538,6,8
25,0.0176625,LILU,1.3,76.92307692,6,8
25,0.110390625,NADO,1.75,20.28571429,8,3
25,0.00785,CESI4,1.7,99.70588235,7,10
26,0.405,RHSP1,0.9,5,4,1
26,0.63,ABGR4,1.15,5,5,1
26,0.0225,FIRE4,0.4,85,2,9
26,0.14,MACLASS,0.6,80,3,9
26,0.0225,FIRE4,0.4,80,2,9
26,0.03,FIRE4,0.4,40,2,5
26,0.375,THOR,1.6,15,7,2
26,0.12,JASA,0.7,70,3,8
26,0.0225,MACLASS,0.3,40,2,5
26,0.0225,MACLASS,0.3,30,2,4
26,0.0225,MACLASS,0.3,40,2,5
26,0.15,ROCH,0.7,75,3,8
26,0.05,RHSP1,0.3,25,2,3
26,0.045,RHSP1,0.3,70,2,8
26,0.21,FICA,1.5,70,7,8
26,0.075,CASA,0.6,70,3,8
26,0.075,CISP,0.6,70,3,8
26,0.075,CISP,0.6,70,3,8
26,0.2,CISP,1.2,70,5,8
26,0.04,CISP,0.6,70,3,8
26,0.0625,CISP,0.6,70,3,8
26,0.0625,HYSP,0.5,30,3,4
26,0.09,COKO,1.5,80,7,9
27,0.0625,RH2,1.5,65,7,7
27,0.045,RH2,1.3,50,6,6
27,0.0225,COFR2,1.7,85,7,9
27,0.075,HYMO2,0.5,30,3,4
27,0.04,DR,0.7,45,3,5
27,0.01,HYMO2,0.4,50,2,6
27,0.25,LAAN81,0.8,25,4,3
28,0.25,SYMI3,1,60,5,7
28,1.125,AUJA,1,25,5,3
28,1.125,AUJA,1.7,20,7,3
28,1,AUJA,1.7,30,7,4
29,0.0675,ROBA,0.3,20,2,3
30,0.01,MACLASS,0.3,30,2,4
30,0.0225,FOVI,0.6,50,3,6
30,0.04,NADO,1,90,5,10
30,0.3,CASA,1.5,65,7,7
30,0.045,RHIN1,0.65,25,3,3
30,0.04,KEJA,0.7,20,3,3
30,0.045,DA4,0.6,95,3,10
30,0.045,RHIN1,0.6,10,3,2
30,0.0625,HYSP,0.7,30,3,4
30,0.03,NADO,0.4,20,2,3
30,0.039740625,OSFR,1.9,74.73684211,8,8
30,0.07065,OSFR,1.9,77.89473684,8,8
30,0.2374625,NADO,1.7,57.94117647,7,6
30,0.1589625,CASA,1.7,54.70588235,7,6
30,0.1256,CICA,1.7,74.11764706,7,8
30,0.0490625,CASA,1.9,46.31578947,8,5
30,0.039740625,CASA,1.9,43.15789474,8,5
30,0.039740625,CASA,1.9,43.15789474,8,5
30,0.0490625,CASA,1.9,43.15789474,8,5
30,0.07065,NADO,1.9,70.52631579,8,8
31,0.25,NADO,1.95,40,8,5
31,0.325,HYSP,1.95,30,8,4
31,0.3,HYSP,1.3,60,6,7
31,0.0625,NADO,0.8,40,4,5
31,0.105,CASA,1,30,5,4
32,0.0625,NADO,0.5,20,3,3
32,0.0625,NADO,0.5,20,3,3
33,0.675,RHSP1,0.6,10,3,2
33,0.2025,PHGL,0.7,30,3,4
33,0.2025,NADO,1.6,55,7,6
33,0.2025,DA4,1.6,50,7,6
33,0.015625,NADO,0.6,35,3,4
33,0.16,CASA,0.7,25,3,3
33,0.0225,NADO,0.3,60,2,7
33,0.0225,ACPA,0.8,65,4,7
33,0.1225,HYSP,1.2,20,5,3
33,0.2275,HYQU3,1.3,20,6,3
33,0.0225,SC3,1.1,20,5,3
33,0.09,NADO,1,25,5,3
34,0.04,DE9,1.8,60,8,7
35,0.1225,NADO,1.1,50,5,6
35,0.1,QUAL2,1.5,35,7,4
35,0.4,PHGL,1.7,25,7,3
35,0.45,PHGL,1.7,25,7,3
35,0.875,KEJA,1.3,40,6,5
35,0.24,ZAPU2,0.7,50,3,6
35,0.5625,KEJA,1.3,40,6,5
35,0.5625,KEJA,1.3,40,6,5
36,0.09,NADO,0.6,25,3,3
36,0.4225,HYSP,0.6,15,3,2
36,0.1625,NADO,0.6,25,3,3
36,0.275,NADO,1.9,50,8,6
36,0.0225,ROCH,0.9,90,4,10
36,0.306640625,MYHA,1.9,28.42105263,8,3
37,0.4225,CESI4,1.5,40,7,5
37,0.25,MACLASS,0.8,90,4,10
37,0.7225,DESC4,1.5,65,7,7
37,0.25,HYSP,1.2,65,5,7
37,0.035,HYSP,0.45,25,2,3
37,0.36,HYMO2,0.9,20,4,3
37,0.45,RHSP1,1.7,20,7,3
37,0.5625,RHSP1,1.7,30,7,4
37,0.3825,HYMO2,0.8,35,4,4
37,0.36,RHSP1,1.5,70,7,8
37,0.275,CASA,1.4,10,6,2
37,0.36,OSFR,1.7,20,7,3
37,0.36,OSFR,1.6,25,7,3
37,0.36,OSFR,1.7,25,7,3
37,0.3,OSFR,1.1,80,5,9
38,0.25,CASA,1.3,40,6,5
38,0.1125,NADO,0.5,10,3,2
38,0.01,CUMA,0.6,15,3,2
38,0.225,NADO,1.2,20,5,3
38,0.375,HYSP,1.6,20,7,3
38,0.09,NADO,0.6,40,3,5
38,0.2025,MAJA,0.9,20,4,3
38,0.075,KEJA,0.3,70,2,8
38,0.09,RHIN1,0.3,25,2,3
38,0.125,FAJA,0.3,20,2,3
38,0.2,PUGR,1.1,30,5,4
38,0.09,CUMA,1.6,70,7,8
38,0.035447656,PHGL,1.7,75.29411765,7,8
38,0.0490625,CHOB,1.7,89.41176471,7,9
38,0.177115625,STPS,1.75,82,8,9
39,0.275,ILCR,1.5,10,7,2
39,0.3025,CASA,1.4,20,6,3
39,0.2025,MAJA,1.5,50,7,6
39,0.09,RHIN1,0.6,5,3,1
39,0.1125,RHIN1,0.5,5,3,1
39,0.33,OLEU,1.8,20,8,3
39,0.09,CISP,0.6,10,3,2
39,0.16,OSFR,1.6,30,7,4
39,0.1225,CISP,1.2,35,5,4
39,0.09,ABME,1.8,70,8,8
39,0.15,LAAN81,1.5,60,7,7
39,0.03,DR,1.6,65,7,7
39,0.14,ROCH,1.8,70,8,8
39,0.2025,IX1,1,30,5,4
39,0.135,MUAX2,0.8,15,4,2
39,0.0225,HYSP,0.3,20,2,3
39,0.25,DR,1.2,30,5,4
39,0.36,HYSP,1.8,30,8,4
39,0.0225,HYSP,0.3,50,2,6
39,0.1225,LAIN,0.5,80,3,9
39,0.015625,HYAR,1.2,65,5,7
39,0.0225,RHSP1,0.3,10,2,2
39,0.04,RHIN1,0.4,5,2,1
39,0.27,RHSP1,0.6,20,3,3
39,0.0825,RHSP1,0.3,10,2,2
39,0.06,MAJA,0.4,40,2,5
39,0.2025,RHSP1,1,15,5,2
39,0.69,OSFR,1.8,15,8,2
39,0.36,CASA,1.8,5,8,1
39,0.105,ABME,0.7,55,3,6
39,0.0225,ROCH,1.3,55,6,6
40,0.2025,COKO,1.6,15,7,2
40,0.09,QUMY1,1.6,25,7,3
40,0.09,COFL,1.6,30,7,4
40,0.05,RHSP1,0.3,65,2,7
40,0.0225,RHSP1,0.3,50,2,6
40,0.09,STPS,1.1,35,5,4
40,0.3,RHSP1,0.3,35,2,4
40,0.09,RHSP1,0.3,70,2,8
40,0.18,RHSP1,0.3,80,2,9
40,0.18,RHSP1,0.3,20,2,3
40,0.4225,JANU,1.5,60,7,7
40,0.225,OSFR,1.5,10,7,2
40,0.17,SPTH2,1.1,40,5,5
40,0.05,NADO,0.7,80,3,9
40,0.0961625,QUMY1,1.9,40,8,5
41,0.15,SEFO2,1.2,30,5,4
41,0.21875,SEFO2,1.2,25,5,3
41,0.375,SEFO2,1.7,30,7,4
41,0.3,MACLASS,1.6,30,7,4
41,0.1225,NADO,1,50,5,6
41,0.16,NADO,1.3,60,6,7
41,0.3025,OSFR,1.5,55,7,6
41,0.0625,FAJA,1,80,5,9
41,0.0375,CAJA9,0.6,45,3,5
41,0.0525,FOVI,0.6,55,3,6
41,0.0225,NADO,1.7,85,7,9
41,0.15,NADO,1.7,80,7,9
41,0.09,DIKA,0.8,50,4,6
41,0.04,NADO,1.2,75,5,8
41,0.2025,HYSP,0.5,20,3,3
41,0.15,ULPA,1.2,15,5,2
42,0.09,CECH,1.5,70,7,8
42,0.0225,MACLASS,0.3,30,2,4
42,0.045,MACLASS,0.3,50,2,6
42,0.2025,CYRE11,0.8,65,4,7
42,0.0225,MACLASS,0.5,30,3,4
42,0.030625,RHSP1,0.4,10,2,2
42,0.0225,MACLASS,0.5,30,3,4
42,0.030625,PIJA,0.5,10,3,2
42,0.0225,ARCR80,0.5,50,3,6
42,0.030625,PIJA,0.5,10,3,2
42,0.0225,RHIN1,0.4,10,2,2
42,0.2025,CASA,1,35,5,4
42,0.0225,RHIN1,0.3,10,2,2
42,0.0625,NADO,0.6,60,3,7
42,0.0625,NADO,0.6,60,3,7
42,0.01,SEFO2,0.5,25,3,3
42,0.030625,NADO,0.4,20,2,3
42,0.12,HYSP,0.5,15,3,2
42,0.01,RHSP1,1.4,45,6,5
42,0.2025,ACPA,1.4,40,6,5
42,0.09,ROBA,1.3,45,6,5
42,0.03,NADO,0.4,40,2,5
42,0.04,NADO,1.5,50,7,6
42,0.04,NADO,1.3,50,6,6
42,0.0961625,MALI,1.8,52.77777778,8,6
42,0.216365625,CECH,1.8,73.33333333,8,8
42,0.19625,CAJA9,1.7,67.05882353,7,7
43,0.68,GA2,1.2,50,5,6
43,0.8,GA2,1.3,50,6,6
43,0.25,SPTH2,0.9,70,4,8
44,0.125,NADO,0.4,20,2,3
44,0.09,RHIN1,0.5,10,3,2
44,0.0875,HYMO2,0.5,35,3,4
44,0.105,EU9,1.3,60,6,7
44,0.01,MACLASS,0.7,90,3,10
44,0.105,VAOL,1.4,85,6,9
44,0.12,NADO,0.35,15,2,2
44,0.04,PHGL,0.45,35,2,4
44,0.03,FAJA,0.3,50,2,6
44,0.0225,ARCR80,1.4,90,6,10
44,0.105,NADO,1.7,55,7,6
44,0.25,MACLASS,1,50,5,6
44,0.05,RHIN1,0.4,80,2,9
44,0.125,RHIN1,0.45,70,2,8
44,0.18,RHIN1,0.5,20,3,3
44,0.09,CASA,0.6,60,3,7
44,0.09,FAJA,0.7,30,3,4
44,0.0225,MACLASS,0.85,80,4,9
44,0.01,MACLASS,1.1,75,5,8
44,0.1125,SPTH2,0.9,20,4,3
44,0.075,CASA,0.8,30,4,4
44,0.19625,COKO,1.8,24.44444444,8,3
44,1.76625,PIHO1,1.8,42.22222222,8,5
44,0.2826,TE6,1.85,37.97297297,8,4
45,0.06,CAJA9,1.3,85,6,9
45,0.06,ULPA,0.9,40,4,5
45,0.0225,ULPA,0.8,15,4,2
45,0.06,CESI4,1.1,50,5,6
45,0.0625,CESI4,1.1,70,5,8
45,0.01,DIKA,0.3,30,2,4
45,0.55,ABGR4,0.7,45,3,5
45,0.05,CESI4,0.5,40,3,5
45,0.0225,HYSP,0.3,25,2,3
45,0.0225,SPTH2,0.7,45,3,5
46,0.42,ROCH,0.4,20,2,3
46,0.2025,NADO,1,40,5,5
46,0.02,RHSP1,0.6,10,3,2
46,0.0625,CESI4,0.6,40,3,5
46,0.03,RHSP1,0.6,25,3,3
46,0.18,RHSP1,0.55,10,3,2
46,0.09,ZAPU2,1.2,90,5,10
46,0.0625,ZAPU2,1.4,90,6,10
46,0.0225,PASU,0.4,25,2,3
46,0.0225,MUAX2,0.3,15,2,2
46,0.0075,ROCH,0.5,60,3,7
46,0.2826,ACPA,1.7,34.11764706,7,4
46,0.1589625,ACPA,1.7,91.76470588,7,10
46,0.0490625,CIRE3,1,84,5,9
46,0.0490625,CROV,0.6,36.25,3,4
46,0.0490625,CACI,1.7,75.29411765,7,8
47,0.25,MADE,1.6,15,7,2
47,0.25,ZAPU2,1.8,70,8,8
47,0.3,NADO,1.5,65,7,7
47,0.25,QUAL2,1.6,80,7,9
47,0.0625,CISP,1.6,70,7,8
47,0.25,MADE,1.6,40,7,5
47,0.35,NADO,1.8,60,8,7
47,0.2275,MADE,1,20,5,3
47,0.25,STPS,1.6,80,7,9
49,0.4225,NADO,1.8,65,8,7
49,0.1275,MACLASS,0.3,5,2,1
49,0.54,MACLASS,0.3,5,2,1
49,0.225,MACLASS,0.3,5,2,1
49,0.0625,HYSP,1.8,50,8,6
49,0.0625,RHIN1,0.5,10,3,2
49,0.01,DR,0.3,70,2,8
49,0.01,DR,0.3,75,2,8
49,0.015625,CASA,0.65,50,3,6
49,0.0625,RHIN1,0.5,10,3,2
49,0.105625,RHIN1,0.5,10,3,2
49,0.4225,HYSP,1.5,20,7,3
50,0.065,LAAN81,0.7,10,3,2
50,0.045,RHIN1,0.4,15,2,2
50,0.06,HYSP,0.55,25,3,3
50,0.0225,DIKA,0.3,50,2,6
50,0.09,NADO,1,50,5,6
50,0.0225,NADO,0.6,50,3,6
51,0.3,MACLASS,1.6,30,7,4
51,0.87,HYSP,1.4,20,6,3
51,0.09,ELMU,1.6,60,7,7
51,0.04,DE9,1.5,50,7,6
51,0.0225,MACLASS,0.3,20,2,3
51,0.07,ACPA,0.6,75,3,8
51,0.04,FRGR1,1,90,5,10
52,0.045,CICA,0.8,50,4,6
52,0.05,AUJA,0.8,50,4,6
52,0.2025,NADO,1,30,5,4
52,0.0625,NADO,0.4,50,2,6
52,0.09,SEFO2,0.9,30,4,4
52,0.09,RHIN1,0.7,50,3,6
52,0.25,LIJA,0.9,20,4,3
52,0.36,RHSP1,1.2,20,5,3
52,0.03,MACLASS,1.3,35,6,4
52,0.05,CASA,0.6,20,3,3
52,0.01,LISI,0.6,70,3,8
52,0.5625,RHSP1,0.7,10,3,2
52,0.0225,CESI4,0.7,85,3,9
52,0.03,NADO,0.8,75,4,8
52,0.225,RHSP1,0.7,20,3,3
52,0.0225,ABGR4,0.5,60,3,7
52,0.175,CESI4,0.7,70,3,8
52,0.0225,NADO,0.8,40,4,5
52,0.1575,SPTH2,0.7,15,3,2
52,0.21,RHSP1,0.8,20,4,3
52,0.045,CESI4,0.3,70,2,8
52,0.0225,ABGR4,0.7,50,3,6
52,0.03,SPTH2,0.5,50,3,6
52,0.3025,BUMI1,1.1,5,5,1
52,0.25,RHIN1,1,5,5,1
