,,PER UNIT AREA,,,CITY TOTAL
,,LEAF AREA (M2/HA),,LEAF BIOMASS KG/HA),,LEAF AREA KM2),,LEAF BIOMASS (MT)
LANDUSE,SPECIES COMMON NAME,MEAN,SE,MEAN,SE, N ,SE, N ,SE

R_low
,MACLASS,8.5246442191,3.6894939433,0.6383091439,0.2762622885,0.0299974558,0.0129829971,2.2461524297,0.9721421296
,DESC4,1.3864738641,1.3861788419,0.1038165257,0.103794435,0.0048788767,0.0048778386,0.3653210103,0.3652432751
,CAJA9,1.2838163962,1.2835432181,0.0961297297,0.0961092747,0.0045176344,0.0045166731,0.3382718672,0.3381998877
,AUJA,1.2446268594,1.0597719058,0.0931952918,0.0793537045,0.0043797299,0.003729242,0.3279458441,0.2792385441
,QUAL2,1.2006556928,1.0931949568,0.1184907065,0.1078855858,0.0042249993,0.0038468547,0.416958132,0.3796396667
,RHSP1,1.1174208516,1.0692726417,0.2234841703,0.2138545283,0.0039321034,0.0037626742,0.7864206818,0.7525348383
,CASA,1.0945945946,1.0943616802,0.0819611612,0.081943721,0.0038517799,0.0038509603,0.2884139496,0.2883525792
,HYMO2,0.9275032056,0.9273058459,0.0694496758,0.0694348979,0.0032638003,0.0032631058,0.2443871586,0.2443351564
,OSFR,0.8864976656,0.8863090313,0.0770867535,0.0770703506,0.0031195055,0.0031188417,0.2712613479,0.2712036273
,GA2,0.7491789098,0.7490194951,0.0560970917,0.056085155,0.0026362932,0.0026357322,0.197400617,0.1973586129
,CECH,0.4612849115,0.4611867566,0.0295395475,0.0295332619,0.0016232201,0.0016228747,0.1039470091,0.1039248906
,HISY,0.3242492757,0.32418028,0.0156642162,0.0156608831,0.001141004,0.0011407612,0.0551209671,0.0551092381
,NADO,0.2550165579,0.1790511051,0.0190951548,0.0134070062,0.0008973803,0.0006300647,0.0671941311,0.0471780481
,HYSP,0.216407557,0.2163615085,0.0162041862,0.0162007382,0.0007615187,0.0007613567,0.057021073,0.0570089397
,EUJAAM,0.1505422445,0.1505102113,0.0112723169,0.0112699183,0.0005297446,0.0005296319,0.0396662687,0.0396578283
,BUMI1KO,0.1153341216,0.1153095802,0.0086359996,0.008634162,0.0004058504,0.000405764,0.0303893055,0.0303828391
,FAJA,0.0929080424,0.0928882729,0.0069567775,0.0069552972,0.000326935,0.0003268655,0.0244802739,0.0244750648
,KEJA,0.0464540212,0.0464441365,0.0034783887,0.0034776486,0.0001634675,0.0001634327,0.0122401369,0.0122375324
,PHGL,0.0449787548,0.0327518347,0.0045896689,0.003342024,0.0001582762,0.0001152508,0.0161506316,0.0117602815
,RHIN1,0.0398584599,0.0298063802,0.007971692,0.005961276,0.0001402583,0.000104886,0.0280516666,0.0209771939
,ABGR4,0.0213910294,0.0213864777,0.0016017196,0.0016013788,0.0000752731,0.0000752571,0.0056363071,0.0056351078
,TOTAL,20.183837235,7.7454628998,1.683029918,0.7005811994,0.0710251067,0.0272555869,5.9224308088,2.4652821885

R_high
,MACLASS,10.29686411,2.5590667406,0.7710095983,0.1916180498,0.0311668572,0.00774586,2.3337149825,0.5799952617
,CASA,2.563902439,2.5631995932,0.1919801377,0.1919275099,0.0077604968,0.0077583694,0.5810912402,0.5809319449
,CAJA9,1.6233165218,1.1475480941,0.1215508534,0.0859262185,0.0049135031,0.003473433,0.3679137695,0.2600840559
,ABGR4,1.205927998,1.110305722,0.0902975946,0.0831375805,0.003650139,0.0033607067,0.2733154683,0.2516433227
,NADO,1.1028022948,0.815493111,0.0825757381,0.061062573,0.0033379951,0.002468359,0.2499427215,0.1848260277
,PIHO1,1.0812202871,1.0809238908,0.1042068293,0.1041782629,0.00327267,0.0032717729,0.315416357,0.3153298915
,RHSP1,1.0604632954,0.7515815791,0.2120926591,0.1503163158,0.0032098421,0.0022749097,0.6419684233,0.4549819342
,RHIN1,0.9796546862,0.7944345082,0.1959309372,0.1588869016,0.0029652482,0.0024046182,0.5930496387,0.4809236405
,HYSP,0.9355223372,0.5621855504,0.0700501331,0.0420953846,0.0028316671,0.0017016401,0.2120298444,0.1274155731
,LAIN,0.6906835865,0.6904942485,0.0517170732,0.0517028959,0.0020905818,0.0020900087,0.1565387886,0.1564958764
,GA2,0.4966876651,0.4965515075,0.0371910276,0.0371808324,0.0015033891,0.001502977,0.112570918,0.1125400588
,OSFR,0.413806246,0.4136928088,0.0359831518,0.0359732877,0.0012525212,0.0012521778,0.1089148834,0.1088850265
,SEFO2,0.3566588098,0.3565610385,0.0267059333,0.0266986123,0.0010795456,0.0010792496,0.08083432,0.0808121608
,MADE,0.2345608568,0.2344965563,0.0156716341,0.0156673381,0.0007099758,0.0007097812,0.0474353724,0.0474223689
,LISI,0.2029306829,0.2028750533,0.0184482439,0.0184431867,0.0006142367,0.0006140683,0.0558396981,0.0558243907
,SPTH2,0.1438466784,0.1438072456,0.0107709657,0.010768013,0.0004353994,0.0004352801,0.032601882,0.0325929448
,CADI,0.1304731777,0.1304374109,0.0097695834,0.0097669052,0.0003949201,0.0003948119,0.029570868,0.0295627617
,FRGR1,0.1052893107,0.1052604476,0.0074958293,0.0074937744,0.0003186928,0.0003186055,0.0226886009,0.0226823812
,MA11,0.0285700364,0.0285622044,0.0024629342,0.002462259,0.0000864766,0.0000864529,0.007454883,0.0074528394
,NEOL,0.0102990915,0.0102962682,0.0015314634,0.0015310436,0.0000311736,0.0000311651,0.0046354794,0.0046342087
,TOTAL,23.663480111,6.3287996136,2.0574423206,0.5791659771,0.0716253315,0.0191562005,6.2275281393,1.7530369544

R_other
,CASA,8.1413977461,4.0589137774,0.609612377,0.303923743,0.0253442526,0.0126354392,1.8977294258,0.9461176511
,MACLASS,5.5674112023,1.2622330688,0.4168771608,0.0945136112,0.0173314067,0.0039293442,1.2977427702,0.2942218169
,SPTH2,4.2184370706,4.1833684641,0.3158685437,0.3132426732,0.0131320368,0.0130228679,0.9833019353,0.975127574
,LE16,2.7519464822,2.751177189,0.206060518,0.2060029148,0.0085668369,0.0085644421,0.641468453,0.6412891337
,PRX,2.3834770049,2.3828107156,0.1844167907,0.1843652379,0.0074197878,0.0074177136,0.5740913136,0.5739308292
,ABGR4,2.2550818185,1.6029265772,0.1688562371,0.1200240931,0.0070200923,0.0049899265,0.5256511545,0.373636202
,RHSP1,1.85505585,1.2880617407,0.37101117,0.2576123481,0.0057748074,0.0040097491,1.1549614823,0.8019498159
,PHGL,1.2174918149,1.0527237936,0.1242338587,0.1074207953,0.0037900642,0.0032771397,0.3867412444,0.3344020099
,CAJA9,1.0423255814,1.0420342044,0.0780473569,0.0780255391,0.00324477,0.0032438629,0.2429622024,0.2428942835
,NADO,0.9980269427,0.8884026847,0.0747303591,0.0665219032,0.0031068679,0.0027656064,0.2326363551,0.2070833497
,RHIN21,0.8940171091,0.893767191,0.0669423006,0.0669235872,0.0027830842,0.0027823062,0.2083920511,0.2083337961
,EU9,0.8911685252,0.8909194034,0.066729004,0.0667103503,0.0027742165,0.002773441,0.2077280568,0.2076699875
,EUJAAM,0.6834904995,0.6832994331,0.0511784685,0.0511641618,0.0021277128,0.002127118,0.1593190842,0.1592745474
,RHIN1,0.4117306979,0.2202816675,0.0823461396,0.0440563335,0.0012817218,0.000685739,0.256344356,0.1371478068
,MEAZ,0.2866961887,0.2866160442,0.0214672653,0.0214612642,0.0008924881,0.0008922386,0.0668278115,0.0668091301
,HYSP,0.265660492,0.2655862279,0.0198921523,0.0198865916,0.0008270038,0.0008267726,0.0619244691,0.0619071584
,ILCR,0.2389744399,0.2389076358,0.031947907,0.0319389761,0.0007439298,0.0007437219,0.0994541539,0.099426352
,HIMU3,0.2013679256,0.2013116342,0.0123538605,0.012350407,0.0006268604,0.0006266851,0.0384576912,0.0384469405
,ZESE,0.1917386789,0.1916850793,0.0143570276,0.0143530141,0.0005968844,0.0005967176,0.0446935704,0.0446810765
,ALJU,0.1690621238,0.1690148633,0.0073505271,0.0073484723,0.0005262921,0.000526145,0.0228822644,0.0228758678
,SC3,0.093614505,0.0935883355,0.0070096761,0.0070077165,0.0002914229,0.0002913414,0.0218211917,0.0218150917
,NEOL,0.0867910202,0.0867667582,0.0129057279,0.0129021202,0.0002701813,0.0002701058,0.04017566,0.0401644291
,PRPE2,0.0689412927,0.0689220205,0.0053341953,0.0053327042,0.0002146149,0.0002145549,0.0166054035,0.0166007615
,HYMO2,0.0330379188,0.0330286832,0.0024738165,0.002473125,0.0001028474,0.0001028186,0.0077010156,0.0076988628
,TOTAL,34.946942931,13.491015685,2.9520024401,1.0989498293,0.1087901828,0.0419976667,9.1896131159,3.4210418081

Com_neigh
,TRFO,3.348146475,3.3473623424,0.561534,0.5614024893,0.0028931669,0.0028924893,0.4852271447,0.485113505
,MACLASS,2.1181649502,0.9568960951,0.1586041624,0.0716505594,0.0018303275,0.0008268635,0.1370514428,0.0619139649
,CESI4,1.0687354524,1.0684851556,0.063,0.0629852455,0.000923505,0.0009232887,0.05443893,0.0544261805
,RHIN1,0.1604487541,0.1604111772,0.0320897508,0.0320822354,0.0001386454,0.0001386129,0.0277290746,0.0277225805
,LACA2,0.0857119819,0.0856919082,0.0064179502,0.0064164471,0.0000740646,0.0000740472,0.0055458149,0.0055445161
,TOTAL,6.7812076135,3.8952541203,0.8216458634,0.5936619149,0.0058597093,0.003365928,0.709992407,0.5129891973

Com
,MACLASS,2.6548135738,1.7120274953,0.1987873905,0.1281933623,0.002679052,0.0017276583,0.2006023194,0.1293637677
,NADO,0.6274038915,0.6272277376,0.04697881,0.0469656199,0.0006331321,0.0006329543,0.0474077265,0.047394416
,MA17,0.5928520629,0.59268561,0.0443916348,0.0443791711,0.0005982648,0.0005980968,0.0447969304,0.0447843529
,CESI4,0.5863049975,0.5861403828,0.0345616071,0.0345519034,0.000591658,0.0005914918,0.0348771546,0.0348673623
,OSFR,0.4155817806,0.4154650992,0.0361375461,0.0361273999,0.000419376,0.0004192583,0.0364674819,0.0364572431
,TRSE6,0.2665147643,0.2664399359,0.0199561186,0.0199505156,0.000268948,0.0002688725,0.020138318,0.0201326638
,MEAZ,0.2246031683,0.2245401072,0.016817858,0.0168131361,0.0002266538,0.0002265902,0.0169714051,0.0169666401
,RHSP1,0.0541331663,0.0541179675,0.0108266333,0.0108235935,0.0000546274,0.0000546121,0.0109254804,0.0109224129
,TOTAL,5.4222074051,2.4552093661,0.4084575984,0.1800918992,0.0054717122,0.0024776254,0.4121868163,0.1817361382

Ind
,MACLASS,3.930299975,1.0517632211,0.2942933861,0.0787540294,0.0126275036,0.003379168,0.9455234484,0.2530256708
,CAJA9,2.7573171714,2.0367085978,0.206462665,0.1525048657,0.008858874,0.0065436596,0.6633356377,0.4899767827
,ELPU,1.3370705835,1.336826351,0.100117302,0.1000990143,0.0042958206,0.0042950359,0.3216628748,0.3216041191
,ABGR4,1.2038246804,1.1951672577,0.0901401022,0.0894918509,0.0038677202,0.0038399051,0.2896075288,0.287524788
,QUAL2,0.8689545519,0.8687958266,0.0857556745,0.0857400101,0.0027918293,0.0027913194,0.2755209763,0.275470649
,NADO,0.697266658,0.6971392936,0.052210001,0.0522004642,0.0022402202,0.002239811,0.1677434239,0.1677127835
,CUMA,0.6110023884,0.6108907812,0.0956855172,0.0956680391,0.0019630651,0.0019627066,0.3074241709,0.3073680161
,GA2,0.4763313954,0.4762443876,0.0356667888,0.0356602738,0.0015303861,0.0015301065,0.1145923992,0.1145714674
,RHIN21,0.4054811878,0.3115019187,0.0303616601,0.0233246711,0.0013027543,0.0010008121,0.0975477631,0.0749389029
,SPTH2,0.4011211751,0.4010479053,0.0300351906,0.0300297043,0.0012887462,0.0012885108,0.0964988625,0.0964812357
,ILCR,0.3704706308,0.3704029597,0.0495273103,0.0495182636,0.0011902703,0.0011900529,0.1591243143,0.1590952483
,DUER,0.3584433577,0.3583778836,0.0268395568,0.0268346542,0.0011516283,0.001151418,0.0862317385,0.0862159872
,OSFR,0.2829336614,0.2828819801,0.0246029271,0.024598433,0.0009090262,0.0009088602,0.0790457603,0.0790313216
,JUCH,0.2342620552,0.1888124589,0.0650727931,0.0524479053,0.0007526512,0.000606628,0.2090697741,0.1685077769
,RHSP1,0.1534818487,0.0911635304,0.0306963697,0.0182327061,0.0004931157,0.0002928957,0.0986231385,0.0585791321
,HYMO2,0.1531873718,0.1531593903,0.011470379,0.0114682838,0.0004921696,0.0004920797,0.0368527219,0.0368459903
,MAJA,0.1183451803,0.1183235631,0.0102021707,0.0102003072,0.0003802265,0.000380157,0.0327781462,0.0327721589
,RHIN1,0.0716898689,0.0716767738,0.0143379738,0.0143353548,0.0002303295,0.0002302874,0.0460659024,0.0460574879
,TOTAL,14.431483742,5.2678915365,1.2534777681,0.4381100456,0.0463663369,0.016924998,4.0272485819,1.4075862413

CITY TOTAL,,20.965854473,3.8230163821,1.7964916475,0.3261850441,0.3091383793,0.0563698031,26.488999869,4.8095495477
